segment_dimension,segment_value,n_control,n_treatment,rate_control,rate_treatment,absolute_lift,p_value,significant
Product Category,market_place,131,143,0.9847328244274809,0.972027972027972,-0.012704852399508915,0.7606600989201396,False
Product Category,agro_industry_and_commerce,77,105,0.987012987012987,0.9619047619047619,-0.02510822510822508,0.5721678888654022,False
Product Category,party_supplies,14,25,0.9285714285714286,1.0,0.0714285714285714,0.7658325336878873,False
Product Category,home_confort,192,183,0.9947916666666666,0.9781420765027322,-0.016649590163934413,0.33970294109082344,False
Product Category,industry_commerce_and_business,117,115,0.9914529914529915,0.9826086956521739,-0.008844295800817581,0.988008631779685,False
Product Category,consoles_games,533,525,0.9606003752345216,0.9619047619047619,0.001304386670240354,1.0,False
Product Category,furniture_bedroom,45,49,0.9777777777777777,0.9183673469387755,-0.059410430839002215,0.41098307555727,False
Product Category,construction_tools_safety,84,78,0.9404761904761905,0.9615384615384616,0.0210622710622711,0.798450876855769,False
Product Category,fixed_telephony,117,100,0.9743589743589743,0.98,0.005641025641025643,1.0,False
Product Category,drinks,137,157,0.948905109489051,0.9808917197452229,0.03198661025617189,0.23528052165500446,False
Product Category,kitchen_dining_laundry_garden_furniture,133,113,0.9774436090225563,0.9646017699115044,-0.012841839111051967,0.8266859998483909,False
Product Category,fashion_shoes,109,129,0.9908256880733946,0.9689922480620154,-0.0218334400113791,0.4736225157352937,False
Product Category,home_construction,234,239,0.9957264957264957,0.9790794979079498,-0.01664699781854595,0.2275877738137773,False
Product Category,audio,179,167,0.9888268156424581,1.0,0.011173184357541888,0.5090187411073366,False
Product Category,home_appliances_2,122,111,0.9590163934426229,0.9819819819819819,0.02296558853935904,0.521239841911148,False
Product Category,fashion_male_clothing,59,53,0.9322033898305084,0.9622641509433962,0.0300607611128878,0.7755157774108632,False
Product Category,cine_photo,36,29,0.9722222222222222,0.9655172413793104,-0.006704980842911823,1.0,False
Product Category,furniture_living_room,197,220,0.9695431472081218,0.9954545454545455,0.025911398246423634,0.09404662146201176,False
Product Category,art,91,107,0.9560439560439561,0.9719626168224299,0.015918660778473814,0.8271215011130773,False
Product Category,costruction_tools_garden,86,102,1.0,0.9607843137254902,-0.039215686274509776,0.17731824449379238,False
Product Category,food_drink,104,120,0.9711538461538461,0.9916666666666667,0.02051282051282055,0.5154751333911948,False
Product Category,computers,87,93,0.9540229885057471,1.0,0.04597701149425293,0.11290940436143614,False
Product Category,small_appliances_home_oven_and_coffee,37,38,0.9459459459459459,0.9736842105263158,0.027738264580369876,0.9811937502978116,False
Product Category,dvds_blu_ray,32,27,0.96875,0.9259259259259259,-0.04282407407407407,0.8798113684217107,False
Product Category,fashio_female_clothing,19,20,1.0,0.9,-0.09999999999999998,0.4908460781255415,False
Product Category,furniture_mattress_and_upholstery,14,24,1.0,0.9583333333333334,-0.04166666666666663,1.0,False
Product Category,signaling_and_security,64,76,0.96875,1.0,0.03125,0.4023747113182553,False
Product Category,books_imported,23,30,0.9565217391304348,0.9333333333333333,-0.023188405797101463,1.0,False
"Delivery Speed (review score, 1-5)",On-time (<= median),23960,24137,4.390894546466333,4.368521357252352,-0.022373189213981348,0.025233793029481328,True
"Delivery Speed (review score, 1-5)",Late (> median),23735,24087,3.925503826978442,3.9282185411217667,0.0027147141433245814,0.8339307574133856,False
